Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;2679435.8170000017;1235653.1849999987;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;2679815.4750000015;1237410.2149999999;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;2675104.5190000013;1237890.4880000018;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;2676439.357999999;1236966.3709999993;de
Bonstetten;8906;0;Bonstetten;3;ZH;2677798.5709999986;1241024.8429999985;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;2682996.333999999;1232961.6499999985;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;2684168.704;1231176.6389999986;de
Hedingen;8908;0;Hedingen;5;ZH;2676518.511;1239054.3000000007;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;2682261.5689999983;1231284.4239999987;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;2680023.421;1231589.697999999;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;2680340.965999998;1230665.1000000015;de
Knonau;8934;0;Knonau;7;ZH;2677402.530000001;1230821.8949999996;de
Maschwanden;8933;0;Maschwanden;8;ZH;2674785.6380000003;1232061.1039999984;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;2677613.728;1232937.7749999985;de
Obfelden;8912;0;Obfelden;10;ZH;2674501.5700000003;1235213.6939999983;de
Ottenbach;8913;0;Ottenbach;11;ZH;2673060.1900000013;1237324.4100000001;de
Rifferswil;8911;0;Rifferswil;12;ZH;2680092.7639999986;1233046.1469999999;de
Stallikon;8143;0;Stallikon;13;ZH;2679551.151999999;1242199.329;de
Uetliberg;8143;2;Stallikon;13;ZH;2679542.2190000005;1244824.9580000006;de
Wettswil;8907;0;Wettswil am Albis;14;ZH;2678321.2749999985;1243534.5769999996;de
Adlikon b. Andelfingen;8452;0;Adlikon;21;ZH;2694310.927000001;1271012.8409999982;de
Benken ZH;8463;0;Benken (ZH);22;ZH;2691310.5100000016;1278717.046;de
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;2687249.2300000004;1269506.0879999995;de
Gräslikon;8415;1;Berg am Irchel;23;ZH;2687807.9439999983;1268052.9820000008;de
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;2689123.458999999;1267147.9039999992;de
Dachsen;8447;0;Dachsen;25;ZH;2688270.1510000005;1280253.563000001;de
Dorf;8458;0;Dorf;26;ZH;2690995.859000001;1269698.7589999996;de
Feuerthalen;8245;0;Feuerthalen;27;ZH;2690270.7190000005;1282950.164999999;de
Langwiesen;8246;0;Feuerthalen;27;ZH;2691950.484000001;1282201.614;de
Flaach;8416;0;Flaach;28;ZH;2687597.7509999983;1269830.6510000005;de
Flurlingen;8247;0;Flurlingen;29;ZH;2689293.004999999;1282181.5540000014;de
Andelfingen;8450;0;Andelfingen;30;ZH;2693252.732999999;1272313.4629999995;de
Henggart;8444;0;Henggart;31;ZH;2693670.004999999;1268741.7239999995;de
Humlikon;8457;0;Humlikon;32;ZH;2692613.574000001;1270162.3399999999;de
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;2693580.745000001;1272835.3299999982;de
Alten;8453;0;Kleinandelfingen;33;ZH;2690909.103;1272782.1259999983;de
Oerlingen;8461;0;Kleinandelfingen;33;ZH;2693030.9470000006;1275546.2369999997;de
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;2687813.2380000018;1280577.243999999;de
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;2689803.243999999;1280733.3460000008;de
Marthalen;8460;0;Marthalen;35;ZH;2690936.245000001;1275649.4059999995;de
Ellikon am Rhein;8464;0;Marthalen;35;ZH;2687135.142000001;1273399.0799999982;de
Ossingen;8475;0;Ossingen;37;ZH;2696777.454999998;1274089.2259999998;de
Rheinau;8462;0;Rheinau;38;ZH;2687521.2479999997;1277681.5379999988;de
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;2698983.9979999997;1270637.5810000002;de
Rudolfingen;8465;0;Trüllikon;40;ZH;2692789.3819999993;1277363.7109999992;de
Wildensbuch;8465;1;Trüllikon;40;ZH;2692956.1330000013;1278630.7289999984;de
Trüllikon;8466;0;Trüllikon;40;ZH;2694209.7509999983;1277042.3480000012;de
Truttikon;8467;0;Truttikon;41;ZH;2696797.7399999984;1276290.1750000007;de
Volken;8459;0;Volken;43;ZH;2689565.9580000006;1269805.068;de
Bachenbülach;8184;0;Bachenbülach;51;ZH;2683462.274;1262012.8949999996;de
Bassersdorf;8303;0;Bassersdorf;52;ZH;2689695.006000001;1255514.4789999984;de
Bülach;8180;0;Bülach;53;ZH;2683021.829999998;1263508.0659999996;de
Dietlikon;8305;0;Dietlikon;54;ZH;2688817.0119999982;1253412.9809999987;de
Eglisau;8193;0;Eglisau;55;ZH;2681815.6790000014;1269952.9140000008;de
Embrach;8424;0;Embrach;56;ZH;2687141.458999999;1261805.6939999983;de
Freienstein;8427;2;Freienstein-Teufen;57;ZH;2686761.5040000007;1265290.239;de
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;2684966.796;1267185.2690000013;de
Glattfelden;8192;0;Glattfelden;58;ZH;2679801.9569999985;1268104.9809999987;de
Zweidlen;8192;1;Glattfelden;58;ZH;2677369.414000001;1268307.6609999985;de
Hochfelden;8182;0;Hochfelden;59;ZH;2681099.6909999996;1264180.5260000005;de
Höri;8181;0;Höri;60;ZH;2680594.4800000004;1262401.7360000014;de
Hüntwangen;8194;0;Hüntwangen;61;ZH;2679293.493999999;1272172.4609999992;de
Kloten;8302;0;Kloten;62;ZH;2686403.335999999;1256379.7699999996;de
Lufingen;8426;0;Lufingen;63;ZH;2687042.412999999;1260600.1279999986;de
Nürensdorf;8309;0;Nürensdorf;64;ZH;2691300.232000001;1255946.8399999999;de
Oberembrach;8425;0;Oberembrach;65;ZH;2688837.840999998;1260294.0410000011;de
Glattbrugg;8152;0;Opfikon;66;ZH;2685213.0080000013;1254283.7820000015;de
Opfikon;8152;1;Opfikon;66;ZH;2685912.2760000005;1254113.3520000018;de
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;2684738.5760000013;1253099.5489999987;de
Rafz;8197;0;Rafz;67;ZH;2682428.159000002;1274321.568;de
Rorbas;8427;3;Rorbas;68;ZH;2685808.5309999995;1264872.1400000006;de
Wallisellen;8304;0;Wallisellen;69;ZH;2687028.296;1251957.2989999987;de
Wasterkingen;8195;0;Wasterkingen;70;ZH;2677774.329;1271560.3530000001;de
Wil ZH;8196;0;Wil (ZH);71;ZH;2680078.234000001;1272987.4400000013;de
Winkel;8185;0;Winkel;72;ZH;2684086.006000001;1260790.9059999995;de
Bachs;8164;0;Bachs;81;ZH;2675343.7540000007;1264293.432;de
Boppelsen;8113;0;Boppelsen;82;ZH;2672671.3170000017;1258197.0890000015;de
Buchs ZH;8107;0;Buchs (ZH);83;ZH;2675366.427000001;1256927.3170000017;de
Dällikon;8108;0;Dällikon;84;ZH;2675488.101;1254829.539999999;de
Dänikon ZH;8114;0;Dänikon;85;ZH;2672916.9459999986;1255465.7490000017;de
Dielsdorf;8157;0;Dielsdorf;86;ZH;2676493.291000001;1259763.9389999993;de
Hüttikon;8115;0;Hüttikon;87;ZH;2671541.3630000018;1255465.1160000004;de
Neerach;8173;0;Neerach;88;ZH;2678030.4169999994;1263041.392000001;de
Niederglatt ZH;8172;0;Niederglatt;89;ZH;2680253.6209999993;1260177.561999999;de
Niederhasli;8155;0;Niederhasli;90;ZH;2678776.3249999993;1259586.3150000013;de
Nassenwil;8155;1;Niederhasli;90;ZH;2677870.3260000013;1257732.6449999996;de
Oberhasli;8156;0;Niederhasli;90;ZH;2679892.3249999993;1257721.4450000003;de
Niederweningen;8166;0;Niederweningen;91;ZH;2670093.1180000007;1261902.881000001;de
Oberglatt ZH;8154;0;Oberglatt;92;ZH;2681567.1790000014;1258991.046;de
Oberweningen;8165;2;Oberweningen;93;ZH;2672985.153000001;1261896.8850000016;de
Otelfingen;8112;0;Otelfingen;94;ZH;2671517.0199999996;1257223.6099999994;de
Regensberg;8158;0;Regensberg;95;ZH;2675383.7060000002;1259633.8090000004;de
Regensdorf;8105;0;Regensdorf;96;ZH;2677477.967;1253827.0989999995;de
Watt;8105;2;Regensdorf;96;ZH;2678645.1999999993;1255191.0859999992;de
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;2677521.2639999986;1255768.4279999994;de
Rümlang;8153;0;Rümlang;97;ZH;2682508.3720000014;1256231;de
Schleinikon;8165;3;Schleinikon;98;ZH;2671798.3280000016;1261250.7639999986;de
Schöfflisdorf;8165;0;Schöfflisdorf;99;ZH;2673707.449000001;1261493.386;de
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;2677374.5089999996;1264551.4560000002;de
Windlach;8175;0;Stadel;100;ZH;2678023.5890000015;1266117.4820000008;de
Steinmaur;8162;0;Steinmaur;101;ZH;2676631.158;1261425.7710000016;de
Sünikon;8162;1;Steinmaur;101;ZH;2675153.9499999993;1260470.886;de
Weiach;8187;0;Weiach;102;ZH;2675209.778999999;1267912.5009999983;de
Bäretswil;8344;0;Bäretswil;111;ZH;2707099.767999999;1243930.6279999986;de
Adetswil;8345;0;Bäretswil;111;ZH;2705932.4800000004;1244241.6180000007;de
Bubikon;8608;0;Bubikon;112;ZH;2704320.3319999985;1236261.1959999986;de
Wolfhausen;8633;0;Bubikon;112;ZH;2703047.6130000018;1234854.4470000006;de
Tann;8632;0;Dürnten;113;ZH;2706928.524;1235700.1640000008;de
Dürnten;8635;0;Dürnten;113;ZH;2706266.4219999984;1237310.7210000008;de
Steg im Tösstal;8496;0;Fischenthal;114;ZH;2712851.5359999985;1245858.5199999996;de
Fischenthal;8497;0;Fischenthal;114;ZH;2711914.208999999;1243345.454;de
Gibswil;8498;0;Fischenthal;114;ZH;2711646.0260000005;1241391.824000001;de
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);115;ZH;2699688.1499999985;1241957.4910000004;de
Grüt (Gossau ZH);8624;0;Gossau (ZH);115;ZH;2701575.8440000005;1240888.1579999998;de
Gossau ZH;8625;0;Gossau (ZH);115;ZH;2700134.8740000017;1239751.313000001;de
